id_da_escola,tipo_da_escola,nome_da_escola,bairro,logradouro_da_entrega,numero,nome_subprefeitura,quantidade_de_material_didatico,latitude,longitude
202,ESCOLA MUNICIPAL,PROFESSOR TEOFILO MOREIRA DA COSTA,VARGEM GRANDE,RUA ESPERANCA,387,VARGEM GRANDE,121,-22.981726,-43.491639
550,ESCOLA MUNICIPAL,25 DE ABRIL,FREGUESIA JPA,RUA MAMORE,78,,128,-22.938165,-43.342579
211,ESCOLA MUNICIPAL,FRANCIS HIME,TAQUARA,ESTRADA PAU DA FOME,196,TAQUARA,520,-22.918831,-43.41625
206,ESCOLA MUNICIPAL,HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA,12,PRACA SECA,392,-22.896931,-43.352667
492,ESCOLA MUNICIPAL,MENEZES CORTES,FREGUESIA JPA,PRACA JOSE ALVES DE AZEVEDO,43,,0,-22.942655,-43.338969
466,ESCOLA MUNICIPAL,NELSON RODRIGUES,TAQUARA,RUA FREI LUIZ ALEVATO ,S/N,TAQUARA,279,-22.935328,-43.369728
636,ESCOLA MUNICIPAL,PABLO NERUDA,TAQUARA,ESTRADA DO MAPUA O RUA,3,TAQUARA,161,-22.92688,-43.387881
527,ESCOLA MUNICIPAL,VIRGILIO VARZEA,PECHINCHA,RUA JOSE SILVA,155,PECHINCHA,179,-22.93253,-43.35113
586,CENTRO INTEGRADO DE EDUCACAO PUBLICA,ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ ,S/N,SENADOR CAMARA,194,-22.881793,-43.487326
080,ESCOLA MUNICIPAL,JOSE MAURO DE VASCONCELOS,BANGU,RUA MARLIERIA O,S/N,BANGU,0,-22.850438,-43.466856
398,ESCOLA MUNICIPAL,LEONARDO DA VINCI,BANGU,RUA RENATO REBECCHI .,S/N,BANGU,315,-22.892527,-43.472954
175,ESCOLA MUNICIPAL,NACOES UNIDAS,BANGU,RUA DOS LIMADORES ,S/N,BANGU,435,-22.888146,-43.476291
308,CENTRO INTEGRADO DE EDUCACAO PUBLICA,THOMAS JEFFERSON,REALENGO,ESTRADA DO ENGENHO NOVO O,S/N,REALENGO,400,-22.866522,-43.425149
520,ESCOLA MUNICIPAL,BARONESA DE SAAVEDRA,REALENGO,RUA MAL. BIBIANO COSTALAT 483-,639,REALENGO,136,-22.87185,-43.432432
576,ESCOLA MUNICIPAL,CORYNTHO DA FONSECA,REALENGO,RUA URUQUE .,S/N,REALENGO,148,-22.858945,-43.443874
495,ESCOLA MUNICIPAL,ENGENHEIRO LAFAYETTE DE ANDRADA,DEODORO,AVENIDA DUQUE DE CAXIAS,170,DEODORO,128,-22.856087,-43.386608
379,CENTRO INTEGRADO DE EDUCACAO PUBLICA,NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES O,S/N,CAMPO GRANDE,109,-22.895575,-43.570508
641,ESCOLA MUNICIPAL,LAURO MULLER,PADRE MIGUEL,RUA ROSA DE ALMEIDA,113,PADRE MIGUEL,269,-22.882073,-43.44644
689,ESCOLA MUNICIPAL,MOACIR PADILHA,PADRE MIGUEL,RUA GENERAL GOMES DE CASTRO,30,PADRE MIGUEL,571,-22.868766,-43.450652
171,ESCOLA MUNICIPAL,PADRE LEONEL FRANCA,REALENGO,AVENIDA CANAL ,S/N,REALENGO,235,-22.883457,-43.429451
477,ESCOLA MUNICIPAL,PAULO MARANHAO,REALENGO,RUA DO GOVERNO,866,REALENGO,187,-22.892991,-43.441219
206,ESCOLA MUNICIPAL,HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA,12,PRACA SECA,392,-22896931,-43352667
687,ESCOLA MUNICIPAL,TASSO DA SILVEIRA,REALENGO,RUA GENERAL BERNARDINO DE MATOS .O,S/N,REALENGO,0,-22.883859,-43.41733
568,ESCOLA MUNICIPAL,VISCONDE DE PORTO SEGURO,JARDIM SULACAP,RUA TEOFILO GUIMARAES,604,JARDIM SULACAP,362,-22.889076,-43.39248
399,ESCOLA MUNICIPAL,CENTRO INTEGRADO DE EDUCACAO PUBLICA CLENTINA DE JESUS,CAMPO GRANDE,AVENIDA ALHAMBRA O,S/N,CAMPO GRANDE,71,-22.925293,-43.566649
255,CENTRO INTEGRADO DE EDUCACAO PUBLICA,FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,ESTRADA MORICABA O,S/N,SENADOR VASCONCELOS,591,-22.925293,-43.566649
262,CENTRO INTEGRADO DE EDUCACAO PUBLICA,HERIVELTO MARTINS,AUGUSTO VASCONCELOS,PRACA SANTO ANASTACIO ,S/N,,221,-22.886489,-43.528802
379,CENTRO INTEGRADO DE EDUCACAO PUBLICA,NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES O,S/N,CAMPO GRANDE,109,-22.895575,-43.570508
616,CENTRO INTEGRADO DE EDUCACAO PUBLICA,PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,RUA CONCHAS ,S/N,CAMPO GRANDE,372,-22.887297,-43.587359
320,COLEGIO MUNICIPAL,PRESIDENTE ANTONIO CARLOS,COSMOS,RUA PEQUIA,97,COSMOS,479,-22.910969,-43.616053
144,ESCOLA MUNICIPAL,ALFREDO CESARIO ALVIM,CAMPO GRANDE,RUA RIO DA PRATA RUA LUISA MARILAC,20,CAMPO GRANDE,99,-22.923154,-43.518773
534,ESCOLA MUNICIPAL,CORA CORALINA,CAMPO GRANDE,RUA VOTORANTIM  KM 10 MENDANHA,S/N,CAMPO GRANDE,157,-22.858781,-43.537047
342,ESCOLA MUNICIPAL,FERNANDO COSTA,CAMPO GRANDE,RUA JOSE ALBANO O,S/N,CAMPO GRANDE,296,-22.89036,-43.593991
052,ESCOLA MUNICIPAL,PROFESSOR PAULO SILVA,INHOAIBA,RUA JAIRO CORREA O,S/N,INHOAIBA,0,-22.908586,-43.584735
139,ESCOLA MUNICIPAL,JESUS SOARES PEREIRA,CAMPO GRANDE,RUA CONSOLACAO,138,CAMPO GRANDE,316,-22.919593,-43.546838
323,CENTRO INTEGRADO DE EDUCACAO PUBLICA,ISMAEL NERY,SANTA CRUZ,AVENIDA CESARIO DE MELO ,S/N,SANTA CRUZ,106,-22.934157,-43.66213
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA,MAJOR MANUEL GOMES ARCHER,PACIENCIA,RUA CABO SAULO DE VASCONCELOS .O,S/N,PACIENCIA,207,-22.888549,-43.638052
560,ESCOLA MUNICIPAL,ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUA FELIPE CARDOSO,750,SANTA CRUZ,308,-22.92139,-43.68058
246,ESCOLA MUNICIPAL,FERNANDO AZEVEDO,SANTA CRUZ,RUA DAS PALMEIRAS IMPERIAIS O,S/N,SANTA CRUZ,459,-22.923065,-43.692332
069,ESCOLA MUNICIPAL,CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO,401,MADUREIRA,0,-22.876082,-43.343369
319,ESCOLA MUNICIPAL,MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUA PORTO FIRME .O,S/N,PACIENCIA,537,-22.924853,-43.632891
584,ESCOLA MUNICIPAL,NELSON ROMERO,SEPETIBA,RUA JOSE BALDINO .O,S/N,SEPETIBA,342,-22.971739,-43.697354
311,ESCOLA MUNICIPAL,PESTALOZZI,SANTA CRUZ,RUA SEVERIANO DAS CHAGAS O,S/N,SANTA CRUZ,162,-22.915717,-43.679753
316,ESCOLA MUNICIPAL,PROFESSORA FLAVIA DOS SANTOS SOARES,PACIENCIA,RUA EUDALDO GOMES DA SILVA .O CONJ URUCANIA,S/N,PACIENCIA,579,-22.914027,-43.653436
497,ESCOLA MUNICIPAL,PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,AVENIDA MARIO PEREIRA DOS SANTOS .O,S/N,PACIENCIA,517,-22.873187,-43.627731
297,ESCOLA MUNICIPAL,PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,AVENIDA CANAL 3 .O CONJ. CESARAO,S/N,SANTA CRUZ,0,-22.930111,-43.652899
068,ESCOLA MUNICIPAL,WALQUIR PEREIRA,NOVA SEPETIBA,ESTRADA DE SEPETIBA  BLOCO,1,,0,-22.956014,-43.686746
069,ESCOLA MUNICIPAL,CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO,401,MADUREIRA,0,-22.876082,-43.343369
515,CENTRO INTEGRADO DE EDUCACAO PUBLICA,HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,ESTRADA DA PEDRA .O,S/N,PEDRA DE GUARATIBA,341,-22.974506,-43.648171
289,ESCOLA MUNICIPAL,BERTHA LUTZ,GUARATIBA,ESTRADA DO PIAI,2075,GUARATIBA,329,-22.979064,-43.67058
210,ESCOLA MUNICIPAL,DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,RUA BELCHIOR DA FONSECA,643,PEDRA DE GUARATIBA,570,-23.001416,-43.638757
474,ESCOLA MUNICIPAL,ENGENHEIRO GASTAO RANGEL,GUARATIBA,ESTRADA DO MAGARCA 9.,183,GUARATIBA,320,-22.98046,-43.643545
301,ESCOLA MUNICIPAL,JONATAS SERRANO,GUARATIBA,ESTRADA DO MATO ALTO O,S/N,GUARATIBA,335,-22.953163,-43.577409
215,ESCOLA MUNICIPAL,NARCISA AMALIA,ILHA DE GUARATIBA,ESTRADA TEODORETO DE CAMARGO .O,S/N,ILHA DE GUARATIBA,0,-23.009084,-43.537582
606,ESCOLA MUNICIPAL,PROFESSOR CASTILHO,ILHA DE GUARATIBA,CAMINHO DA MATRIZ,4406,ILHA DE GUARATIBA,521,-22.994124,-43.593683
069,ESCOLA MUNICIPAL,CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO,401,MADUREIRA,0,-22.876082,-43.343369
